id,query,qtype,gold,gold_label,before_rank,after_rank,before_score,top1_before,top1_after,cost_s,improved
q01,参加职业技能培训能拿到多少补贴？,口语化提问,tj_subsidy_2022#010,《天津市职业技能培训补贴实施办法》第九条,7,4,6.701,《天津市职业技能培训补贴实施办法》第三条,《天津市职业技能培训补贴实施办法》第二条,0.444,True
q02,考完试拿到证书，考试的费用能报销吗？,术语差异,tj_subsidy_2022#011,《天津市职业技能培训补贴实施办法》第十条,17,1,4.928,《就业补助资金管理办法》第五条,《天津市职业技能培训补贴实施办法》第十条,0.194,True
q03,家里是低保，参加培训除了学费还有别的补助吗？,口语化提问,tj_subsidy_2022#012,《天津市职业技能培训补贴实施办法》第十一条,1,1,8.176,《天津市职业技能培训补贴实施办法》第十一条,《天津市职业技能培训补贴实施办法》第十一条,0.194,False
q04,什么样的人可以参加政府出钱的培训？,口语化提问,tj_subsidy_2022#005,《天津市职业技能培训补贴实施办法》第四条,-1,-1,7.245,《天津市职业技能培训补贴实施办法》第三条,《天津市职业技能培训监督管理暂行办法》第二条,0.196,False
q05,线上加线下一起上课的班期，补贴会打折吗？,条款细节,tj_subsidy_2022#010,《天津市职业技能培训补贴实施办法》第九条,1,2,8.149,《天津市职业技能培训补贴实施办法》第九条,《天津市职业技能培训监督管理暂行办法》第二十四条,0.216,False
q06,公共实训基地办培训班，补贴能多拿一点吗？,条款细节,tj_subsidy_2022#015,《天津市职业技能培训补贴实施办法》第十四条,3,1,12.654,《天津市职业技能培训监督管理暂行办法》第二条,《天津市职业技能培训补贴实施办法》第十四条,0.19,True
q07,同一个人一年最多能享受几次培训补贴？,规则冲突,tj_subsidy_2022#016|tj_ops_manual#009,《天津市职业技能培训补贴实施办法》第十五条,3,1,10.135,《天津市职业技能培训补贴实施办法》第十一条,《天津市职业技能培训补贴实施办法》第十五条,0.196,True
q08,定向就业培训的补贴是打给培训机构还是打给个人？,条款细节,tj_subsidy_2022#019,《天津市职业技能培训补贴实施办法》第十八条,2,1,11.791,《天津市职业技能培训补贴实施办法》第十七条,《天津市职业技能培训补贴实施办法》第十八条,0.197,True
q09,企业开展新型学徒制培训，一年能拿到多少补贴？,金额条款,tj_subsidy_2022#022,《天津市职业技能培训补贴实施办法》第二十一条,1,1,16.757,《天津市职业技能培训补贴实施办法》第二十一条,《天津市职业技能培训补贴实施办法》第二十一条,0.197,False
q10,师傅带徒弟有奖励吗？最长能资助多久？,金额条款,tj_subsidy_2022#023,《天津市职业技能培训补贴实施办法》第二十二条,1,1,18.922,《天津市职业技能培训补贴实施办法》第二十二条,《天津市职业技能培训补贴实施办法》第二十二条,0.13,False
q11,考了特种作业操作证能领补贴吗？,金额条款,tj_subsidy_2022#021,《天津市职业技能培训补贴实施办法》第二十条,2,2,17.895,《天津市职业技能培训补贴实施办法》第二十六条,《天津市职业技能培训补贴实施办法》第二十六条,0.163,False
q12,培训机构开班前要提前多久申报？,流程细节,tj_subsidy_2022#025|tj_ops_manual#007,《天津市职业技能培训补贴实施办法》第二十四条,1,1,9.508,《天津市职业技能培训补贴实施办法》第二十四条,《天津市职业技能培训补贴实施办法》第二十四条,0.2,False
q13,补贴审核完之后要公示几天？,流程细节,tj_ops_manual#015,《天津市职业培训补贴经办操作规程》八、补贴发放,1,1,9.305,《天津市职业培训补贴经办操作规程》八、补贴发放,《天津市职业培训补贴经办操作规程》八、补贴发放,0.188,False
q14,生活费补贴要去哪里申请？,流程细节,tj_subsidy_2022#026|tj_ops_manual#016,《天津市职业技能培训补贴实施办法》第二十五条,1,1,10.791,《天津市职业技能培训补贴实施办法》第二十五条,《天津市职业技能培训补贴实施办法》第二十五条,0.195,False
q15,这套培训补贴政策什么时候到期作废？,有效期,tj_subsidy_2022#035|tj_supervise_2022#035,《天津市职业技能培训补贴实施办法》第三十四条,-1,-1,8.603,《就业补助资金管理办法》第三十一条,《天津市职业技能培训监督管理暂行办法》第二十三条,0.09,False
q16,2026年5月1日以后新开的班期按哪个目录执行？,版本时效,tj_catalog_2026#001,《天津市市场紧缺职业需求程度及培训补贴标准目录（2026年版）》通知正文,1,1,11.258,《天津市市场紧缺职业需求程度及培训补贴标准目录（2026年版）》通知正文,《天津市市场紧缺职业需求程度及培训补贴标准目录（2026年版）》通知正文,0.203,False
q17,非常紧缺职业A类初级工的补贴标准是多少钱？,版本时效,tj_catalog_2026#003|tj_catalog_2024#003,《天津市市场紧缺职业需求程度及培训补贴标准目录（2026年版）》补贴标准表,1,1,18.912,《天津市市场紧缺职业需求程度及培训补贴标准目录（2026年版）》补贴标准表,《天津市市场紧缺职业需求程度及培训补贴标准目录（2026年版）》补贴标准表,0.199,False
q18,全市的补贴培训是谁在负责监管？,主体职责,tj_supervise_2022#006,《天津市职业技能培训监督管理暂行办法》第五条,2,1,14.05,《天津市职业技能培训监督管理暂行办法》第七条,《天津市职业技能培训监督管理暂行办法》第五条,0.092,True
