id,query,qtype,difficulty,gold,content_rank,question_rank,fusion_rank,matched_question,improved
q01,参加职业技能培训能拿到多少补贴？,口语化提问,中,tj_subsidy_2022#010,7,16,9,补贴能拿多少,False
q02,考完试拿到证书，考试的费用能报销吗？,术语差异,易,tj_subsidy_2022#011,17,13,18,,True
q03,家里是低保，参加培训除了学费还有别的补助吗？,口语化提问,中,tj_subsidy_2022#012,1,1,1,什么是城乡低保家庭成员？,False
q04,什么样的人可以参加政府出钱的培训？,口语化提问,易,tj_subsidy_2022#005,-1,4,14,企业职工参加职业技能培训可享受补贴吗？,True
q05,线上加线下一起上课的班期，补贴会打折吗？,条款细节,难,tj_subsidy_2022#010,1,11,1,补贴能拿多少,False
q06,公共实训基地办培训班，补贴能多拿一点吗？,条款细节,中,tj_subsidy_2022#015,3,2,1,公共实训基地的企业培训中心能享受多高的补贴标准？,True
q07,同一个人一年最多能享受几次培训补贴？,规则冲突,难,tj_subsidy_2022#016|tj_ops_manual#009,3,2,3,已享受高等级补贴的人员是否可以享受低等级补贴？；什么是天津市职业培训补贴？,True
q08,定向就业培训的补贴是打给培训机构还是打给个人？,条款细节,中,tj_subsidy_2022#019,2,1,1,定向就业培训和定向岗前培训有什么区别？,True
q09,企业开展新型学徒制培训，一年能拿到多少补贴？,金额条款,易,tj_subsidy_2022#022,1,20,1,补贴能拿多少,False
q10,师傅带徒弟有奖励吗？最长能资助多久？,金额条款,中,tj_subsidy_2022#023,1,1,1,最长可以获得多少个月的资助？,False
q11,考了特种作业操作证能领补贴吗？,金额条款,中,tj_subsidy_2022#021,2,1,1,本市户籍人员或非本市户籍人员在本市初次或复审取得特种作业操作证后，可以申请什么补贴？,True
q12,培训机构开班前要提前多久申报？,流程细节,中,tj_subsidy_2022#025|tj_ops_manual#007,1,-1,1,什么是定向培训补贴？；定向培训和专项职业能力培训的总课时分别是多少？,False
q13,补贴审核完之后要公示几天？,流程细节,易,tj_ops_manual#015,1,19,1,补贴能拿多少？,False
q14,生活费补贴要去哪里申请？,流程细节,中,tj_subsidy_2022#026|tj_ops_manual#016,1,1,1,生活费补贴的申请流程是什么？；生活费补贴发放条件是什么？,False
q15,这套培训补贴政策什么时候到期作废？,有效期,中,tj_subsidy_2022#035|tj_supervise_2022#035,-1,1,-1,政策条款什么时候结束？；本办法与市政府补贴职业培训违规行为处理办法有什么区别？,True
q16,2026年5月1日以后新开的班期按哪个目录执行？,版本时效,难,tj_catalog_2026#001,1,-1,1,,False
q17,非常紧缺职业A类初级工的补贴标准是多少钱？,版本时效,难,tj_catalog_2026#003|tj_catalog_2024#003,1,1,1,非常紧缺职业补贴标准；不同职业补贴标准,False
q18,全市的补贴培训是谁在负责监管？,主体职责,易,tj_supervise_2022#006,2,1,1,市人社局是全市补贴培训监管工作的主管部门，主要承担哪些职责？,True
q19,民办培训机构的信用等级是怎么评出来的？,术语差异,难,tj_supervise_2022#019|tj_supervise_2022#018,2,1,1,什么是民办职业培训机构的信用等级评价？；民办职业培训机构培训质量评估结果如何进行对比？,True
q20,培训机构违规会被怎么处理？,处理措施,中,tj_supervise_2022#020,9,1,4,培训机构违规会被怎样处理？,True
q21,骗取培训补贴资金会有什么后果？,跨文档,难,tj_subsidy_2022#031|tj_supervise_2022#025,1,-1,1,培训机构能拿补贴吗；培训机构整改期间可以开展补贴培训吗？,False
q22,就业补助资金主要花在哪些方面？,跨文档,中,national_fund_2023#005,1,6,1,就业补助资金分为哪两类？,False
q23,就业见习补贴是发给谁的？,跨文档,中,national_fund_2023#008,1,1,1,对吸纳就业见习的单位给予什么标准的就业见习补贴？,False
q24,公益性岗位补贴能领多长时间？,跨文档,中,national_fund_2023#012,1,1,1,公益性岗位补贴的标准是多少？,False
q25,就业补助资金有哪些支出是被禁止的？,跨文档,中,national_fund_2023#017,1,1,1,就业补助资金不得用于哪些支出,False
